Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Data lav. F1,Cod. lavorazione - F2,Lavori - F2,Prezzo F2,Data lav. F2,Cod. lavorazione - F3,Lavori - F3,Prezzo F3,Data lav. F3,Cod. lavorazione - F4,Lavori - F4,Prezzo F4,Data lav. F4,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AI051AI,ALB_852,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8407,Platanus × hispanica,,38.13813268,13.32439485,17.32,0.64,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,166.67,440.43
AI052AI,ALB_853,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8419,Celtis australis,,38.13815766,13.32450311,8.47,0.21,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,13.41,35.42
AI053AI,ALB_854,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8430,Tabebuia rosea,,38.13794939,13.32309456,3.84,0.03,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,8.96,23.68
AI054AI,ALB_855,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8438,Tabebuia rosea,,38.13773282,13.32216807,3.47,0.02,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,6.32,16.7
AI055AI,ALB_856,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8443,,,38.1378118,13.32250454,3.4,0.05,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI056AI,ALB_857,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8444,,,38.13762251,13.32169378,3.73,0.05,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI057AI,ALB_858,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8449,Tabebuia rosea,,38.1379248,13.3229883,2.88,-,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI058AI,ALB_859,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8452,,,38.13815841,13.32398415,3.6,0.03,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI059AI,ALB_860,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8455,,,38.13775995,13.32228409,3.47,0.04,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI060AI,ALB_861,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8459,Tabebuia rosea,,38.13785976,13.32271018,3.93,-,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,-,-
AI061AI,ALB_862,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8462,Tabebuia rosea,,38.13813181,13.32387414,3.1,0.03,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,8.54,22.55
AI062AI,ALB_863,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8469,Tabebuia rosea,,38.1380836,13.32367267,3.57,0.05,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,12.1,31.95
